vendor,raw_metric,canonical_metric
canonical,bess_soc,bess_soc
canonical,bess_soh,bess_soh
canonical,bess_power_charge,bess_power_charge
canonical,bess_power_discharge,bess_power_discharge
canonical,bess_temp_cell,bess_temp_cell
canonical,bess_temp_pack,bess_temp_pack
canonical,bess_temp_ambient,bess_temp_ambient
canonical,bess_voltage_cell,bess_voltage_cell
canonical,bess_voltage_pack,bess_voltage_pack
canonical,bess_current,bess_current
canonical,bess_c_rate,bess_c_rate
canonical,bess_cycle_count,bess_cycle_count
canonical,bess_throughput,bess_throughput
canonical,bess_rte,bess_rte
canonical,bess_hvac_status,bess_hvac_status
canonical,bess_contactor_status,bess_contactor_status
canonical,bess_voltage_cell_max,bess_voltage_cell_max
canonical,bess_voltage_cell_min,bess_voltage_cell_min
canonical,bess_temp_cell_max,bess_temp_cell_max
canonical,bess_temp_cell_min,bess_temp_cell_min
canonical,bess_soc_rack,bess_soc_rack
canonical,bess_available_charge_power,bess_available_charge_power
canonical,bess_available_discharge_power,bess_available_discharge_power
canonical,bess_alarm_code,bess_alarm_code
canonical,bess_insulation_resistance,bess_insulation_resistance
