inverter_id,group_id,r2,mae_kw,rmse_kw,n_samples,success,error_message
INV 01.001,INV 01,0.9958936063997957,0.010037166801695106,0.01665528645490172,8802,True,
INV 01.002,INV 01,0.9963616072760314,0.00912309246479907,0.015491030488325251,8798,True,
INV 01.003,INV 01,0.9969404991970761,0.00826957464808995,0.014289079448788452,8750,True,
INV 01.004,INV 01,0.9970975576373231,0.007795420067333768,0.014009736867566068,8885,True,
INV 01.005,INV 01,0.9974809464688151,0.0075591634121621,0.012977688237455055,8825,True,
INV 01.006,INV 01,0.9973814932272254,0.007539851050381558,0.013329062975719676,8913,True,
INV 01.007,INV 01,0.9975853898978239,0.0070636989585203536,0.012647318524015932,8996,True,
INV 01.008,INV 01,0.9974484884071659,0.007808597211047852,0.013018889022954191,8819,True,
INV 01.009,INV 01,0.9976583956566492,0.008071900162388833,0.012439104249048994,9015,True,
INV 01.010,INV 01,0.9972121681342313,0.008536726701503397,0.01367715027954663,8943,True,
INV 01.011,INV 01,0.9975622153462225,0.008000644544588955,0.01278368150266241,8844,True,
INV 01.012,INV 01,0.9976812287222998,0.0082591589360907,0.012439057629083927,8823,True,
INV 01.013,INV 01,0.9972650048004754,0.008513479713701219,0.01345770548978393,8926,True,
INV 01.014,INV 01,0.9975697230720851,0.007900787721647729,0.012797630822115342,9011,True,
INV 01.015,INV 01,0.9957195721136562,0.009610121987563868,0.016958632118204003,8811,True,
INV 01.016,INV 01,0.9964244523431097,0.008367900703670402,0.015365160755737106,8769,True,
INV 01.017,INV 01,0.9966653982882636,0.0084795519016571,0.014796593277494635,8890,True,
INV 01.018,INV 01,0.9970187265204449,0.008048677997172474,0.014023912034912057,8971,True,
INV 01.019,INV 01,0.9970055395804166,0.008159156699599789,0.014084766969586233,8932,True,
INV 01.020,INV 01,0.9965899171276338,0.008439134499457147,0.015084216081185556,9021,True,
INV 01.021,INV 01,0.9970028575137837,0.008570539424817305,0.014080615691951012,8855,True,
INV 01.022,INV 01,0.9972709794035999,0.007888063309431918,0.013534097478645882,8822,True,
INV 01.023,INV 01,0.9967113420025763,0.009310731747575,0.01478339133547542,8909,True,
INV 01.024,INV 01,0.9972366125043924,0.008425636306774533,0.013679528145270996,8632,True,
INV 01.025,INV 01,0.9975318076003792,0.00787071675073222,0.012849066793427007,9028,True,
INV 01.026,INV 01,0.9968279406550543,0.009748788044744305,0.0146476872266998,8821,True,
INV 01.027,INV 01,0.9975730933476201,0.007711220429036308,0.012721203816673712,8969,True,
INV 01.028,INV 01,0.9978526240069698,0.0076643703965880465,0.012001604977845302,8900,True,
